stage,config_id,variant_id,family,description,implemented,infeasible_reason,core_identity_preserving,graft_source,system,tier,dim,seed,run,library,library_space,regressor,center_scheme,M,bandwidth_mult,bandwidth_rule,knn_k,local_poly_order,projection_normalization,projection_scales,prune_min_effective_samples,target_anchor,threshold_mode,threshold,stlsq_threshold,pseudo_blocks,l1_ratio_grid,adaptive_gamma,svd_rtol,ridge_floor,gls_weighting,gls_iterations,target_regression_kw,diffusion_parameterization,diffusion_shrinkage,rank1_project,R,n_steps,dt,subsample_k,T,bias_correct,noise_correct,status,pass_level,drift_pass_level,tensor_pass_level,score,drift_rel_l2,diffusion_rel_l2,b1_rel_l2,b2_rel_l2,a11_rel_l2,a22_rel_l2,a12_rel_l2,a12_cosine,a12_sign_acc,psd_valid_pct,oracle_drift_rel_l2,oracle_diffusion_rel_l2,oracle_a12_rel_l2,oracle_a12_cosine,oracle_ols_passes,oracle_headroom_drift,oracle_headroom_diffusion,oracle_headroom_a12,cond_design,rank_deficient_targets,mean_selected_terms,max_cv_folds,used_pseudo_blocks,mean_alpha,mean_l1_ratio,runtime_sec,error,selection_basis
v6_ladder,LADDER_0_B0,LADDER_0_B0,baseline_1d_port,"Faithful naive 1D weak-form port to five 2D targets: raw coords, local-constant kernels, STLSQ, no GLS, no Cholesky",True,,yes,Eshwar-1D componentwise port,rotational_ou,2,2,9101,0,A,raw,stlsq,quantile_grid,64,1.5,nn_median,50,0,row,1.0,,left,relative,0.02,,5,0.2;0.5;0.8;0.95,1.0,1e-08,1e-10,False,1,,entries,0.0,False,1,1600,0.01,1,16.0,True,False,VALIDATED_POSITIVE,medium,medium,strong,0.8478170159339866,0.4049724803961687,0.11678698515202071,0.4841501413947366,0.34312060113014814,0.07906791950921871,0.10291403447749314,,,,1.0,0.3191481583435855,0.01704243057727632,,,True,0.08582432205258317,0.09974455457474439,,5.592771641585199,0,5.4,0,False,,,0.08069913799408823,,non_oracle_composite
v6_ladder,LADDER_0_B0,LADDER_0_B0,baseline_1d_port,"Faithful naive 1D weak-form port to five 2D targets: raw coords, local-constant kernels, STLSQ, no GLS, no Cholesky",True,,yes,Eshwar-1D componentwise port,indep_ou,1,2,9101,0,A,raw,stlsq,quantile_grid,64,1.5,nn_median,50,0,row,1.0,,left,relative,0.02,,5,0.2;0.5;0.8;0.95,1.0,1e-08,1e-10,False,1,,entries,0.0,False,1,1600,0.01,1,16.0,True,False,INCONCLUSIVE,fail,fail,strong,0.7000112713855625,0.9990861775024553,0.12746433536043802,1.2024004193300977,0.8651769611694702,0.11225131181642589,0.11978352342815472,,,,1.0,0.35843414720261046,0.015164160199890619,,,True,0.6406520302998449,0.11230017516054741,,9.693173479219816,0,5.0,0,False,,,0.08334976100013591,,non_oracle_composite
v6_ladder,LADDER_0_B0,LADDER_0_B0,baseline_1d_port,"Faithful naive 1D weak-form port to five 2D targets: raw coords, local-constant kernels, STLSQ, no GLS, no Cholesky",True,,yes,Eshwar-1D componentwise port,correlated_ou,1,2,9101,0,A,raw,stlsq,quantile_grid,64,1.5,nn_median,50,0,row,1.0,,left,relative,0.02,,5,0.2;0.5;0.8;0.95,1.0,1e-08,1e-10,False,1,,entries,0.0,False,1,1600,0.01,1,16.0,True,False,INCONCLUSIVE,fail,fail,strong,0.6939443628716162,1.210522656733068,0.16722075623697424,1.9289367017627304,0.643725239611824,0.16854459259776852,0.1159572252057909,0.19975458521376327,0.9799881642780378,1.0,1.0,0.44348737818369155,0.016526360882011492,0.010611895610781673,0.9999999999999992,True,0.7670352785493765,0.15069439535496276,0.18914268960298158,10.620224841380098,0,5.2,0,False,,,0.08162713301135227,,non_oracle_composite
v6_ladder,LADDER_0_B0,LADDER_0_B0,baseline_1d_port,"Faithful naive 1D weak-form port to five 2D targets: raw coords, local-constant kernels, STLSQ, no GLS, no Cholesky",True,,yes,Eshwar-1D componentwise port,coupled_ou,1,2,9101,0,A,raw,stlsq,quantile_grid,64,1.5,nn_median,50,0,row,1.0,,left,relative,0.02,,5,0.2;0.5;0.8;0.95,1.0,1e-08,1e-10,False,1,,entries,0.0,False,1,1600,0.01,1,16.0,True,False,INCONCLUSIVE,fail,fail,strong,0.7557100543356838,0.8392957415369714,0.11657714760332315,0.5977941326771932,1.130488730790749,0.1102023923338027,0.11438810687262119,,,,1.0,0.5244767897084978,0.018321490560260577,,,True,0.31481895182847364,0.09825565704306258,,11.464803352818999,0,5.2,0,False,,,0.08316107897553593,,non_oracle_composite
v6_ladder,LADDER_0_B0,LADDER_0_B0,baseline_1d_port,"Faithful naive 1D weak-form port to five 2D targets: raw coords, local-constant kernels, STLSQ, no GLS, no Cholesky",True,,yes,Eshwar-1D componentwise port,spiral_sink_corr,2,2,9101,0,A,raw,stlsq,quantile_grid,64,1.5,nn_median,50,0,row,1.0,,left,relative,0.02,,5,0.2;0.5;0.8;0.95,1.0,1e-08,1e-10,False,1,,entries,0.0,False,1,1600,0.01,1,16.0,True,False,VALIDATED_POSITIVE,medium,medium,strong,0.882668247219925,0.47511404663344553,0.10338535760163026,0.4433181887964908,0.5057073089623122,0.08666121682789626,0.11338403809222303,0.13359132726341544,0.9930465568822938,1.0,1.0,0.3153555677984317,0.017868399412138514,0.015810577888816096,1.0000000000000002,True,0.15975847883501382,0.08551695818949175,0.11778074937459934,6.083595083256489,0,5.2,0,False,,,0.08400037098908797,,non_oracle_composite
v6_ladder,LADDER_0_B0,LADDER_0_B0,baseline_1d_port,"Faithful naive 1D weak-form port to five 2D targets: raw coords, local-constant kernels, STLSQ, no GLS, no Cholesky",True,,yes,Eshwar-1D componentwise port,heston_logsv,5,2,9101,0,D,raw,stlsq,quantile_grid,64,1.5,nn_median,50,0,row,1.0,,left,relative,0.02,,5,0.2;0.5;0.8;0.95,1.0,1e-08,1e-10,False,1,,entries,0.0,False,1,2600,0.003968253968253968,1,10.317460317460316,True,False,INCONCLUSIVE,fail,fail,fail,0.5493288234373676,8.254168605054813,0.08251892774332924,17.807846403966405,0.6784345387028965,0.06029148181384881,0.08718951450245921,0.2201470770869964,0.9760468899017255,0.9935897435897436,0.9230769230769231,2.853575829236496,0.03625408781452329,0.0021846734657124793,1.0000000000000002,False,5.400592775818318,0.046264839928805944,0.21796240362128394,2312.5793665509755,0,5.6,0,False,,,0.14425245599704795,,non_oracle_composite
v6_ladder,LADDER_0_B0,LADDER_0_B0,baseline_1d_port,"Faithful naive 1D weak-form port to five 2D targets: raw coords, local-constant kernels, STLSQ, no GLS, no Cholesky",True,,yes,Eshwar-1D componentwise port,heston_sv,5,2,9101,0,E,raw,stlsq,quantile_grid,64,1.5,nn_median,50,0,row,1.0,,left,relative,0.02,,5,0.2;0.5;0.8;0.95,1.0,1e-08,1e-10,False,1,,entries,0.0,False,1,2600,0.003968253968253968,1,10.317460317460316,True,False,NEGATIVE_RESULT_WORTH_REPORTING,fail,fail,fail,0.4754387882537625,28.628521185934126,0.2853183517284335,28.629430761623308,2.7168040968357667,0.28531333152816984,0.22476037473632896,0.9917087538232237,0.4507396696366538,0.8881118881118881,0.9112426035502958,7.777333220830431,0.11695628050881861,0.33848714533164587,0.9549749035108314,False,20.851187965103694,0.16836207121961488,0.6532216084915778,475494584096.7963,0,9.0,0,False,,,0.1446613149892073,,non_oracle_composite
v6_ladder,LADDER_0_B0,LADDER_0_B0,baseline_1d_port,"Faithful naive 1D weak-form port to five 2D targets: raw coords, local-constant kernels, STLSQ, no GLS, no Cholesky",True,,yes,Eshwar-1D componentwise port,cir_pair,5,2,9101,0,F,raw,stlsq,quantile_grid,64,1.5,nn_median,50,0,row,1.0,,left,relative,0.02,,5,0.2;0.5;0.8;0.95,1.0,1e-08,1e-10,False,1,,entries,0.0,False,1,2600,0.003968253968253968,1,10.317460317460316,True,False,NEGATIVE_RESULT_WORTH_REPORTING,fail,fail,fail,0.09289024678950569,17.605271642068317,1.7732618709083254,19.426352318574885,3.772659037659439,0.1900396146558493,2.036171907196697,3.244899892108277,-0.633319324564916,0.5414012738853503,0.5325443786982249,1.9766697181039414,0.03414903960362971,0.06880972129158892,0.9999999999999998,False,15.628601923964375,1.7391128313046957,3.1760901708166878,33410.36872074991,0,8.4,0,False,,,0.19142098998418078,,non_oracle_composite
v6_ladder,LADDER_0_B0,LADDER_0_B0,baseline_1d_port,"Faithful naive 1D weak-form port to five 2D targets: raw coords, local-constant kernels, STLSQ, no GLS, no Cholesky",True,,yes,Eshwar-1D componentwise port,correlated_ou,1,2,9102,1,A,raw,stlsq,quantile_grid,64,1.5,nn_median,50,0,row,1.0,,left,relative,0.02,,5,0.2;0.5;0.8;0.95,1.0,1e-08,1e-10,False,1,,entries,0.0,False,1,1600,0.01,1,16.0,True,False,INCONCLUSIVE,fail,fail,strong,0.5400459932849554,1.9208704629391413,0.23264422171430135,0.6561672999440992,2.9543223683970554,0.2756727310916344,0.1483003295555083,0.1876648654388182,0.9865332447970224,1.0,1.0,0.08826452457731818,0.0630020583819907,0.06743882943271916,0.9999999999999996,True,1.8326059383618232,0.16964216333231064,0.12022603600609903,12.113693253078294,0,4.6,0,False,,,0.07378164900001138,,non_oracle_composite
v6_ladder,LADDER_0_B0,LADDER_0_B0,baseline_1d_port,"Faithful naive 1D weak-form port to five 2D targets: raw coords, local-constant kernels, STLSQ, no GLS, no Cholesky",True,,yes,Eshwar-1D componentwise port,indep_ou,1,2,9102,1,A,raw,stlsq,quantile_grid,64,1.5,nn_median,50,0,row,1.0,,left,relative,0.02,,5,0.2;0.5;0.8;0.95,1.0,1e-08,1e-10,False,1,,entries,0.0,False,1,1600,0.01,1,16.0,True,False,INCONCLUSIVE,fail,fail,strong,0.5669779059655314,1.4556577099385233,0.24146418078554022,1.8872450316629525,0.7718243967628537,0.184708946204943,0.20325920610424725,,,,0.9940828402366864,0.25569125244618346,0.046698925556129874,,,True,1.1999664574923399,0.19476525522941035,,11.519441313959197,0,5.4,0,False,,,0.07716956301010214,,non_oracle_composite
