system,metric,value,threshold,oracle_value,diagnosis_class,evidence,action
bad_coverage,drift_rel_l2,3.917022655295965,1.0,1.5774171030959998,real_recovery_failure,registry=FRAGILE_FAIL; oracle=1.577; value=3.917,keep number; route to named-null segment; display with split/log-clipped heatmap
bad_coverage,diffusion_rel_l2,1.3550455879469807,0.75,0.9460584106546244,real_recovery_failure,registry=FRAGILE_FAIL; oracle=0.9461; value=1.355,keep number; route to named-null segment; display with split/log-clipped heatmap
bad_coverage,psd_valid_pct,0.1107266435986159,0.95,,real_recovery_failure,registry=FRAGILE_FAIL; oracle=nan; value=0.1107,keep number; route to named-null segment; display with split/log-clipped heatmap
cir_pair,drift_rel_l2,4.611060591070795,1.0,1.5189140170085655,real_recovery_failure,registry=FRAGILE; oracle=1.519; value=4.611,keep number; route to named-null segment; display with split/log-clipped heatmap
cir_pair,diffusion_rel_l2,0.3276683166664433,0.75,0.0447292596406097,ok,within audit threshold,no action
cir_pair,a12_cosine,0.9677601571676422,0.85,0.9999999999999998,ok,within audit threshold,no action
cir_pair,psd_valid_pct,0.8512110726643599,0.95,,real_recovery_failure,registry=FRAGILE; oracle=nan; value=0.8512,keep number; route to named-null segment; display with split/log-clipped heatmap
correlated_ou,drift_rel_l2,0.9906759339733916,1.0,0.2301681773301626,ok,within audit threshold,no action
correlated_ou,diffusion_rel_l2,0.0823324670805397,0.75,0.0222753774570958,ok,within audit threshold,no action
correlated_ou,a12_cosine,0.9999999999999996,0.85,0.9999999999999998,ok,within audit threshold,no action
correlated_ou,psd_valid_pct,1.0,0.95,,ok,within audit threshold,no action
coupled_ou,drift_rel_l2,0.6340378420739899,1.0,0.2963738666933918,ok,within audit threshold,no action
coupled_ou,diffusion_rel_l2,0.019479481696785,0.75,0.0169343851726193,ok,within audit threshold,no action
coupled_ou,psd_valid_pct,1.0,0.95,,ok,within audit threshold,no action
diag_multiplicative,drift_rel_l2,0.386695681600217,1.0,0.1528606175884807,ok,within audit threshold,no action
diag_multiplicative,diffusion_rel_l2,0.1090375070629315,0.75,0.0391090882293085,ok,within audit threshold,no action
diag_multiplicative,psd_valid_pct,1.0,0.95,,ok,within audit threshold,no action
double_well,drift_rel_l2,0.3987741719099824,1.0,0.4886075134142316,ok,within audit threshold,no action
double_well,diffusion_rel_l2,0.0287886988245489,0.75,0.023879656667959,ok,within audit threshold,no action
double_well,psd_valid_pct,1.0,0.95,,ok,within audit threshold,no action
double_well_transverse,drift_rel_l2,0.5164252153244245,1.0,0.2024899817300124,ok,within audit threshold,no action
double_well_transverse,diffusion_rel_l2,0.0503908347977329,0.75,0.0249048199052571,ok,within audit threshold,no action
double_well_transverse,psd_valid_pct,1.0,0.95,,ok,within audit threshold,no action
gradient_potential,drift_rel_l2,0.633807571857996,1.0,0.282103902602052,ok,within audit threshold,no action
gradient_potential,diffusion_rel_l2,0.038925424260743,0.75,0.0161540005327414,ok,within audit threshold,no action
gradient_potential,psd_valid_pct,1.0,0.95,,ok,within audit threshold,no action
