system,seed,linear_spectral_gap_hat,linear_spectral_gap_true,current_cosine,irreversibility_scalar
spiral_sink_corr,9101,0.9537367276331721,1.0,0.9550447087164486,2.0080514623325274
coupled_ou,9101,0.46966432066922076,0.4999999999999999,,0.004954450365586088
indep_ou,9101,0.9446037048159636,1.0,,0.0
correlated_ou,9101,0.9507759500285985,1.0,,0.00486391843110355
rotational_ou,9101,0.9545338405376287,1.0,1.0000000000000002,2.7277389661573275
double_well_transverse,9101,0.7966335002981718,,,0.6154450340751492
gradient_potential,9101,1.2665434671955798,,,0.0
nongradient_circulation,9101,1.6220623503534122,,0.7534871098238156,0.24602488420120472
heston_logsv,9101,1.9590814878099319,,,0.0
indep_ou,9102,0.9302672234129177,1.0,,0.0
correlated_ou,9102,0.8950783657448259,1.0,,0.0
diag_multiplicative,9101,0.9599005466426317,,,0.0
coupled_ou,9102,0.4749090533324122,0.4999999999999999,,0.017506145674568135
nondiag_cholesky,9101,0.9389010950805264,,,0.008312330866989884
cir_pair,9101,2.047106822503205,,,0.0
spiral_sink_corr,9102,1.0424420066967675,1.0,0.9549665473572088,1.9546388377452002
rotational_ou,9102,1.0445470913393926,1.0,0.9999999999999998,2.740086827204185
double_well_transverse,9102,1.2491300512491732,,,0.32197295900271483
diag_multiplicative,9102,0.9200147823327685,,,0.0016494928313322086
gradient_potential,9102,1.239507035519193,,,0.0016097557262106372
heston_sv,9101,,,,0.0009325789285253791
nongradient_circulation,9102,1.7276221578138649,,-0.739099961293678,0.2511710502990451
nondiag_cholesky,9102,1.068401562820065,,,0.0019957898652448154
heston_logsv,9102,1.9588843982319886,,,0.0
indep_ou,9103,0.9833553375661134,1.0,,0.0
correlated_ou,9103,1.001473907577594,1.0,,0.0
rotational_ou,9103,1.0123236930318367,1.0,0.9999999999999997,2.81673064475313
coupled_ou,9103,0.513731920781036,0.4999999999999999,,0.008497136757322643
spiral_sink_corr,9103,1.000511516716648,1.0,0.9549645822070669,2.084591328937713
cir_pair,9102,0.0634639772293033,,,0.6214806423202017
double_well_transverse,9103,0.9782883387015251,,,0.5150462567044051
heston_sv,9102,1.994799326317746,,,0.0
gradient_potential,9103,0.9975722166168924,,,0.005717079108075153
nongradient_circulation,9103,1.6664444141072332,,-0.7487771803074362,0.054782889349367356
diag_multiplicative,9103,0.9475898044613675,,,0.0
nondiag_cholesky,9103,0.9648442943295538,,,0.0
heston_logsv,9103,2.1287173569189553,,,1.1956517353647953
indep_ou,9104,1.133587369911179,1.0,,0.2509916396173374
correlated_ou,9104,1.2818029045880386,1.0,,0.4085395301003175
coupled_ou,9104,0.6778006129814604,0.4999999999999999,,0.2389855690900798
rotational_ou,9104,0.939714481779277,1.0,1.0000000000000002,2.9390220795990385
spiral_sink_corr,9104,0.9629068760721524,1.0,0.9549670815686742,2.32432423910818
cir_pair,9103,3.975244971696281,,,0.9575016769681668
double_well_transverse,9104,1.4514790875722159,,,0.8521917507162319
heston_sv,9103,2.138783593294254,,,0.0
gradient_potential,9104,1.8674481095084263,,,0.1151209395941973
nongradient_circulation,9104,1.8162780805809973,,-0.7256244879480979,0.03341586258234346
diag_multiplicative,9104,0.9909118075853861,,,0.2092327782842234
nondiag_cholesky,9104,0.9819387167971354,,,0.36753725996180153
heston_logsv,9104,1.8705428679059548,,,0.0
indep_ou,9105,0.9868654088235763,1.0,,0.0032714615740775275
correlated_ou,9105,1.0036292055445144,1.0,,0.01908709525564432
coupled_ou,9105,0.5209622264353528,0.4999999999999999,,0.07715536344814622
rotational_ou,9105,1.1432527824637209,1.0,1.0000000000000002,2.9049660417033865
spiral_sink_corr,9105,1.0890038226094476,1.0,0.9549815657565224,2.1114192640203058
cir_pair,9104,1.6078673950287496,,,0.0
double_well_transverse,9105,0.8930471917877408,,,0.6784319445640498
heston_sv,9104,,,,0.0
gradient_potential,9105,1.1982539260747282,,,0.010557248312073901
nongradient_circulation,9105,1.4451890811643269,,0.7488558737615333,0.2121174552670989
diag_multiplicative,9105,0.9959690237703058,,,0.0060863142120611445
nondiag_cholesky,9105,1.1502306281236307,,,0.0014533944962973424
heston_logsv,9105,0.014409370348688055,,,0.8430458186584927
indep_ou,9106,0.9739877842739306,1.0,,0.0
