system,tier,n,objective_drift_median,objective_drift_ci_low,objective_drift_ci_high,diffusion_median,diffusion_ci_low,diffusion_ci_high,a12_cosine_median,a12_cosine_ci_low,a12_cosine_ci_high,psd_valid_median,generator_action_error_median,generator_action_error_ci_low,generator_action_error_ci_high,false_positive_count,pass_marker,scope_metric_contract
cir_pair,5,10,0.3933099076916935,0.19232933831400714,0.68113218503474,0.11579527270450414,0.0717120373299054,0.2511522120355764,0.9952095392582606,0.9643380451785117,0.998597334074674,1.0,0.40793095151223707,0.188843169560665,0.6945432406306454,0,PASS,tensor+leverage+CIR_pair_drift
correlated_ou,1,10,0.13555058774988746,0.08711272508651838,0.3883334867560098,0.0514479535255873,0.027506202739153184,0.06529854895590548,0.9999999999999998,0.9999999999999997,1.0,1.0,0.13340932126027122,0.08792522673256381,0.372603150862423,0,PASS,drift+tensor+psd
coupled_ou,1,10,0.21357333332283046,0.11339380452414105,0.26894086794079086,0.028037983075600938,0.024365971572329132,0.04646341555726606,,,,1.0,0.21419345817997787,0.10110069291627868,0.23991076234249106,0,PASS,drift+tensor+psd
diag_multiplicative,4,10,0.19997375865261813,0.08623985450002532,0.24427936586389162,0.11182499275187688,0.088860700093169,0.13723242998143603,,,,1.0,0.20793941146994968,0.10352502828068584,0.23594017906308548,0,PASS,drift+tensor+psd
double_well_transverse,3,10,0.22628849045275165,0.15479099822187925,0.32251631967067046,0.024160166851510245,0.011516693413977073,0.03421687876805141,,,,1.0,0.2403709320964003,0.1495842432707977,0.31187028381672427,0,PASS,drift+tensor+psd
gradient_potential,3,10,0.24611775307887887,0.21710441524999166,0.27849177658926016,0.02365292380399151,0.01797469192536967,0.03220793813705047,,,,1.0,0.25356201904184517,0.2251311425932605,0.2830199356313452,0,PASS,drift+tensor+psd
heston_logsv,5,10,0.14326726775387902,0.033419550818744675,0.2923786104802017,0.0535273848510562,0.046369053775883726,0.0626673078236961,0.9986802991501469,0.9974724746606956,0.9993558810959273,1.0,0.5835306290474974,0.3227317909705953,0.9433820746643411,0,PASS,tensor+leverage+b2_variance_drift; b1_log_price_drift_reported_null
heston_sv,5,10,0.27267855940195707,0.1485462439958825,0.45220145087742,0.08884655473642435,0.04554336211641949,0.1899509486779738,0.9927827739642325,0.9766437271536712,0.9994596685533113,1.0,1717.3870722563634,1209.2066791272255,2307.9213035557286,0,PASS,tensor+leverage+b2_variance_drift; b1_log_price_drift_reported_null
indep_ou,1,10,0.09781186610245023,0.058440278035566215,0.19874369574510556,0.032507466951612246,0.02076674708448801,0.04436901822808723,,,,1.0,0.10314940904789713,0.06032589116807428,0.19035327251619594,0,PASS,drift+tensor+psd
nondiag_cholesky,4,10,0.20426220540015738,0.15027429763867323,0.28202580910675057,0.07883513308686832,0.06614428837380916,0.08711154815331235,0.988339371932736,0.9399442099484008,0.9961995461118236,1.0,0.21882181936941592,0.1663831864428512,0.3063495698745032,0,PASS,drift+tensor+psd
nongradient_circulation,3,10,0.23925628402283297,0.2190089689503873,0.28510151141902595,0.023919421626711998,0.01589255495540556,0.03477685211173542,,,,1.0,0.25703156137266914,0.24164944526316087,0.30779226005645133,0,PASS,drift+tensor+psd
rotational_ou,2,10,0.05764966358903535,0.0469247125629258,0.0730183000133784,0.03761437498850561,0.025667931820633906,0.05296526261308196,,,,1.0,0.06177579257016484,0.05058433164805215,0.07684169191363861,0,PASS,drift+tensor+psd
spiral_sink_corr,2,10,0.07833525525648044,0.0542865080184121,0.09177140337813548,0.04250108192364837,0.0358698056145864,0.047689357589145866,1.0000000000000002,1.0,1.0000000000000004,1.0,0.08266620033724954,0.05232839085005282,0.09250183656965251,0,PASS,drift+tensor+psd
