system,tier,seed,run,variant_id,library,R,n_steps,dt,objective_drift_rel_l2,drift_rel_l2,diffusion_rel_l2,b1_rel_l2,b2_rel_l2,a11_rel_l2,a22_rel_l2,a12_rel_l2,a12_cosine,a12_sign_acc,psd_valid_pct,generator_action_error,scope_metric_contract,runtime_sec
spiral_sink_corr,2,9101,0,WG_SINDY_FROZEN,A,16,1600,0.01,0.08197944520585743,0.08197944520585743,0.03896086667232552,0.11885305135415021,0.02593685576783631,0.013276548462903158,0.01805598371389001,0.08506690165255443,1.0,1.0,1.0,0.0797200323156176,drift+tensor+psd,26.02811612500227
coupled_ou,1,9101,0,WG_SINDY_FROZEN,A,16,1600,0.01,0.054234932121401964,0.054234932121401964,0.042102603183081025,0.03697629066588895,0.06601335539779846,0.0051944119812933525,0.00896011814924908,,,,1.0,0.05220154623903532,drift+tensor+psd,26.532384797988925
indep_ou,1,9101,0,WG_SINDY_FROZEN,A,16,1600,0.01,0.0526876640562729,0.0526876640562729,0.017212221180514617,0.05870427469363621,0.046119417403373435,0.018562206738247822,0.009752710607174525,,,,1.0,0.058122164036049064,drift+tensor+psd,26.630183656990994
correlated_ou,1,9101,0,WG_SINDY_FROZEN,A,16,1600,0.01,0.3096209144331688,0.3096209144331688,0.027506202739153184,0.04960194832809159,0.45883255043567495,0.004399059424534335,0.0018197783808866076,0.05500986353483966,0.9999999999999999,1.0,1.0,0.3013445708876389,drift+tensor+psd,26.62404930900084
rotational_ou,2,9101,0,WG_SINDY_FROZEN,A,16,1600,0.01,0.05900978186854921,0.05900978186854921,0.017425678397800595,0.027465251437509962,0.07850711910403185,0.022481686143052463,0.01009367739787792,,,,1.0,0.05768107959751465,drift+tensor+psd,26.865859499026556
double_well_transverse,3,9101,0,WG_SINDY_FROZEN,B,16,1600,0.01,0.1683941035976013,0.1683941035976013,0.016606178967385254,0.25411424934473753,0.08155606460639939,0.02261941100846652,0.006316059327121648,,,,1.0,0.163320076150458,drift+tensor+psd,34.2508149399946
gradient_potential,3,9101,0,WG_SINDY_FROZEN,B,16,1600,0.01,0.25586497548832954,0.25586497548832954,0.01775076244916221,0.2630872740425562,0.25002856832447956,0.024098719860277458,0.007030706660716497,,,,1.0,0.2796113950074651,drift+tensor+psd,35.7249948339886
nongradient_circulation,3,9101,0,WG_SINDY_FROZEN,B,16,1600,0.01,0.24369979880223586,0.24369979880223586,0.03477685211173542,0.2391890803218048,0.24814815003582325,0.04918066674884733,0.0003477121537364103,,,,1.0,0.25090582588547716,drift+tensor+psd,37.458886657026596
heston_logsv,5,9101,0,WG_SINDY_FROZEN,D,16,2600,0.003968253968253968,0.033419550818744675,0.3171788245786954,0.05340909472065005,1.0,0.033419550818744675,0.03925851008123087,0.3080590865763924,0.10144570067718042,0.996563330096406,1.0,1.0,0.3331115248087222,tensor+leverage+b2_variance_drift; b1_log_price_drift_reported_null,30.852257894992363
indep_ou,1,9102,1,WG_SINDY_FROZEN,A,16,1600,0.01,0.058440278035566215,0.058440278035566215,0.029602258344259072,0.07655860397604262,0.02298144304816495,0.020245047207989485,0.0016221898064865512,,,,1.0,0.0487553938465718,drift+tensor+psd,23.67401766401599
correlated_ou,1,9102,1,WG_SINDY_FROZEN,A,16,1600,0.01,0.0852234308293222,0.0852234308293222,0.02028886972145549,0.1080672533249747,0.04909139075946507,0.00032585521756256513,0.013064105121968723,0.03897323676556794,0.9999999999999994,1.0,1.0,0.07665948795090746,drift+tensor+psd,23.016912421997404
diag_multiplicative,4,9101,0,WG_SINDY_FROZEN,A,16,1600,0.01,0.04814956573247828,0.04814956573247828,0.17641863787050893,0.045331659072555174,0.05130414883116232,0.176844098621498,0.15866326540837009,,,,1.0,0.09115812929387943,drift+tensor+psd,33.768829792010365
coupled_ou,1,9102,1,WG_SINDY_FROZEN,A,16,1600,0.01,0.2582235163912392,0.2582235163912392,0.006849964937559287,0.36119864728136397,0.07479333912525943,0.0006463882400804533,0.009665724056410308,,,,1.0,0.23991076234249106,drift+tensor+psd,22.85750790601014
nondiag_cholesky,4,9101,0,WG_SINDY_FROZEN,C,16,1600,0.01,0.15027429763867323,0.15027429763867323,0.06976746734101885,0.06699909450953398,0.22680946307151917,0.02605417302933639,0.0810971761325169,0.6032598601605634,0.8035550938547121,0.8581081081081081,1.0,0.1663831864428512,drift+tensor+psd,34.58524073299486
cir_pair,5,9101,0,WG_SINDY_FROZEN,F,16,2600,0.003968253968253968,0.1206088736562201,0.1206088736562201,0.10393693342131854,0.1044281113221435,0.13410879887751562,0.1045659024188753,0.03497498929389934,0.16148068736661866,0.998420223940924,1.0,1.0,0.14072597351710311,tensor+leverage+CIR_pair_drift,41.342020660988055
spiral_sink_corr,2,9102,1,WG_SINDY_FROZEN,A,16,1600,0.01,0.0991515605334448,0.0991515605334448,0.05762749560278938,0.12078077930445875,0.0776073454592786,0.002184525132969855,0.0744113521540462,0.1041502812176911,0.9960217184329038,1.0,1.0,0.10254514809530571,drift+tensor+psd,12.635102284984896
rotational_ou,2,9102,1,WG_SINDY_FROZEN,A,16,1600,0.01,0.06093372188819368,0.06093372188819368,0.07680908849339084,0.06452989904271657,0.05702292333253299,0.09179380789205309,0.03177041883432788,,,,1.0,0.06774986340063595,drift+tensor+psd,14.010910904995399
double_well_transverse,3,9102,1,WG_SINDY_FROZEN,B,16,1600,0.01,0.24516339178091953,0.24516339178091953,0.01590062332530151,0.32039052569118365,0.18708484720587237,0.015963613590349073,0.004430785540637164,,,,1.0,0.25229170714872956,drift+tensor+psd,27.705481259006774
