system,tier,family,dim,scope_status,registry_verdict,library,n_seeds,drift_l2_mu,tensor_rel_l2,a12_cosine,psd_valid_pct,generator_action_error,false_positive_count,verdict,verdict_reason,metric_contract,source,figure_png,figure_pdf,paper_subsection_label
indep_ou,1,linear_ou,2,IN_SCOPE_POSITIVE,STRONG,A,10,0.09781186610245023,0.032507466951612246,,1.0,0.10314940904789713,0,PASS,metric_gate_passed,drift+tensor+psd,v6_showcase,figures/v6/showcase_fields_indep_ou.png,figures/v6/showcase_fields_indep_ou.pdf,sec:v62-indep-ou
correlated_ou,1,linear_ou,2,IN_SCOPE_POSITIVE,STRONG,A,10,0.13555058774988746,0.0514479535255873,0.9999999999999998,1.0,0.13340932126027122,0,PASS,metric_gate_passed,drift+tensor+psd,v6_showcase,figures/v6/showcase_fields_correlated_ou.png,figures/v6/showcase_fields_correlated_ou.pdf,sec:v62-correlated-ou
coupled_ou,1,linear_ou,2,IN_SCOPE_POSITIVE,STRONG,A,10,0.21357333332283046,0.028037983075600938,,1.0,0.21419345817997787,0,PASS,metric_gate_passed,drift+tensor+psd,v6_showcase,figures/v6/showcase_fields_coupled_ou.png,figures/v6/showcase_fields_coupled_ou.pdf,sec:v62-coupled-ou
rotational_ou,2,rotational,2,IN_SCOPE_POSITIVE,STRONG,A,10,0.05764966358903535,0.03761437498850561,,1.0,0.06177579257016484,0,PASS,metric_gate_passed,drift+tensor+psd,v6_showcase,figures/v6/showcase_fields_rotational_ou.png,figures/v6/showcase_fields_rotational_ou.pdf,sec:v62-rotational-ou
spiral_sink_corr,2,rotational,2,IN_SCOPE_POSITIVE,STRONG,A,10,0.07833525525648044,0.04250108192364837,1.0000000000000002,1.0,0.08266620033724954,0,PASS,metric_gate_passed,drift+tensor+psd,v6_showcase,figures/v6/showcase_fields_spiral_sink_corr.png,figures/v6/showcase_fields_spiral_sink_corr.pdf,sec:v62-spiral-sink-corr
double_well_transverse,3,bistable,2,IN_SCOPE_POSITIVE,STRONG,B,10,0.22628849045275165,0.024160166851510245,,1.0,0.2403709320964003,0,PASS,metric_gate_passed,drift+tensor+psd,v6_showcase,figures/v6/showcase_fields_double_well_transverse.png,figures/v6/showcase_fields_double_well_transverse.pdf,sec:v62-double-well-transverse
gradient_potential,3,bistable,2,IN_SCOPE_POSITIVE,STRONG,B,10,0.24611775307887887,0.02365292380399151,,1.0,0.25356201904184517,0,PASS,metric_gate_passed,drift+tensor+psd,v6_showcase,figures/v6/showcase_fields_gradient_potential.png,figures/v6/showcase_fields_gradient_potential.pdf,sec:v62-gradient-potential
nongradient_circulation,3,rotational,2,IN_SCOPE_POSITIVE,STRONG,B,10,0.23925628402283297,0.023919421626711998,,1.0,0.25703156137266914,0,PASS,metric_gate_passed,drift+tensor+psd,v6_showcase,figures/v6/showcase_fields_nongradient_circulation.png,figures/v6/showcase_fields_nongradient_circulation.pdf,sec:v62-nongradient-circulation
diag_multiplicative,4,multiplicative,2,IN_SCOPE_POSITIVE,STRONG,A,10,0.19997375865261813,0.11182499275187688,,1.0,0.20793941146994968,0,PASS,metric_gate_passed,drift+tensor+psd,v6_showcase,figures/v6/showcase_fields_diag_multiplicative.png,figures/v6/showcase_fields_diag_multiplicative.pdf,sec:v62-diag-multiplicative
nondiag_cholesky,4,multiplicative,2,IN_SCOPE_POSITIVE,STRONG,C,10,0.20426220540015738,0.07883513308686832,0.988339371932736,1.0,0.21882181936941592,0,PASS,metric_gate_passed,drift+tensor+psd,v6_showcase,figures/v6/showcase_fields_nondiag_cholesky.png,figures/v6/showcase_fields_nondiag_cholesky.pdf,sec:v62-nondiag-cholesky
near_singular,4,multiplicative,2,NAMED_LIMIT,FRAGILE,A,10,0.8700934147759143,1.5054945943077107,0.7240000115904922,1.0,7.3013642604684765,0,NAMED_NULL,fragile_physics_or_identifiability_limit,drift+tensor+psd,v6_2_extra,figures/v6/showcase_fields_near_singular.png,figures/v6/showcase_fields_near_singular.pdf,sec:v62-near-singular
heston_sv,5,financial,2,IN_SCOPE_POSITIVE,FRAGILE,E,10,0.27267855940195707,0.08884655473642435,0.9927827739642325,1.0,1717.3870722563634,0,PASS,metric_gate_passed,tensor+leverage+b2_variance_drift; b1_log_price_drift_reported_null,v6_showcase,figures/v6/showcase_fields_heston_sv.png,figures/v6/showcase_fields_heston_sv.pdf,sec:v62-heston-sv
heston_logsv,5,financial,2,IN_SCOPE_POSITIVE,STRONG,D,10,0.14326726775387902,0.0535273848510562,0.9986802991501469,1.0,0.5835306290474974,0,PASS,metric_gate_passed,tensor+leverage+b2_variance_drift; b1_log_price_drift_reported_null,v6_showcase,figures/v6/showcase_fields_heston_logsv.png,figures/v6/showcase_fields_heston_logsv.pdf,sec:v62-heston-logsv
cir_pair,5,financial,2,IN_SCOPE_POSITIVE,FRAGILE,F,10,0.3933099076916935,0.11579527270450414,0.9952095392582606,1.0,0.40793095151223707,0,PASS,metric_gate_passed,tensor+leverage+CIR_pair_drift,v6_showcase,figures/v6/showcase_fields_cir_pair.png,figures/v6/showcase_fields_cir_pair.pdf,sec:v62-cir-pair
underdamped_langevin,6,honest_limits,2,NAMED_LIMIT,FRAGILE,B,10,0.15667986002929996,0.5633894164079569,,1.0,0.22927823644413298,0,NAMED_NULL,fragile_physics_or_identifiability_limit,drift+tensor+psd,v6_2_extra,figures/v6/showcase_fields_underdamped_langevin.png,figures/v6/showcase_fields_underdamped_langevin.pdf,sec:v62-underdamped-langevin
near_boundary_heston,6,honest_limits,2,NAMED_LIMIT,FRAGILE,D,10,1.4130442783829285,0.26680827071157953,0.9816768112005441,1.0,1.4864391292752566,0,NAMED_NULL,fragile_physics_or_identifiability_limit,drift+tensor+psd,v6_2_extra,figures/v6/showcase_fields_near_boundary_heston.png,figures/v6/showcase_fields_near_boundary_heston.pdf,sec:v62-near-boundary-heston
nonpoly_drift,6,honest_limits,2,NAMED_LIMIT,STRONG_WITH_G_FAIL_WITHOUT,G,10,0.20979373968555776,0.03742969132485974,,1.0,0.23633398843880188,0,NAMED_NULL,registry_declared_failure_or_stress_case,drift+tensor+psd,v6_2_extra,figures/v6/showcase_fields_nonpoly_drift.png,figures/v6/showcase_fields_nonpoly_drift.pdf,sec:v62-nonpoly-drift
bad_coverage,6,honest_limits,2,NAMED_LIMIT,FRAGILE_FAIL,A,10,0.8146790957781631,0.7836077327626298,,1.0,0.8062862850928714,0,NAMED_NULL,registry_declared_failure_or_stress_case,drift+tensor+psd,v6_2_extra,figures/v6/showcase_fields_bad_coverage.png,figures/v6/showcase_fields_bad_coverage.pdf,sec:v62-bad-coverage
too_large_dt,6,honest_limits,2,NAMED_LIMIT,FRAGILE_FAIL,A,10,0.09796341793160201,0.1193453602308176,,1.0,0.11758307536679177,0,NAMED_NULL,registry_declared_failure_or_stress_case,drift+tensor+psd,v6_2_extra,figures/v6/showcase_fields_too_large_dt.png,figures/v6/showcase_fields_too_large_dt.pdf,sec:v62-too-large-dt
van_der_pol,7-limit-cycle,limit_cycle,2,IN_SCOPE_POSITIVE,STRONG,B,10,0.06609619190267611,0.03966824289993187,,1.0,0.05600375968363652,0,PASS,metric_gate_passed,drift+tensor+psd,v6_2_extra,figures/v6/showcase_fields_van_der_pol.png,figures/v6/showcase_fields_van_der_pol.pdf,sec:v62-van-der-pol
fitzhugh_nagumo,7-limit-cycle,limit_cycle,2,IN_SCOPE_POSITIVE,STRONG,B,10,0.2052765678350064,0.04031433060326255,,1.0,0.6229830579385888,0,PASS,metric_gate_passed,drift+tensor+psd,v6_2_extra,figures/v6/showcase_fields_fitzhugh_nagumo.png,figures/v6/showcase_fields_fitzhugh_nagumo.pdf,sec:v62-fitzhugh-nagumo
stuart_landau,7-limit-cycle,limit_cycle,2,IN_SCOPE_POSITIVE,STRONG,B,10,0.1255446409356633,0.018036399922623087,,1.0,0.14412288544600305,0,PASS,metric_gate_passed,drift+tensor+psd,v6_2_extra,figures/v6/showcase_fields_stuart_landau.png,figures/v6/showcase_fields_stuart_landau.pdf,sec:v62-stuart-landau
brusselator,7-limit-cycle,limit_cycle,2,IN_SCOPE_POSITIVE,STRONG,B,10,0.01260510832135413,0.06683401973843991,,1.0,0.015254417345803252,0,PASS,metric_gate_passed,drift+tensor+psd,v6_2_extra,figures/v6/showcase_fields_brusselator.png,figures/v6/showcase_fields_brusselator.pdf,sec:v62-brusselator
maier_stein,8-bistable,bistable,2,IN_SCOPE_POSITIVE,STRONG,B,10,0.23530059788024382,0.037908868709829194,,1.0,0.2293676377847109,0,PASS,metric_gate_passed,drift+tensor+psd,v6_2_extra,figures/v6/showcase_fields_maier_stein.png,figures/v6/showcase_fields_maier_stein.pdf,sec:v62-maier-stein
duffing,8-bistable,bistable,2,IN_SCOPE_POSITIVE,STRONG,B,10,0.24006758312855747,0.030953888832456054,,1.0,0.19861426724325448,0,PASS,metric_gate_passed,drift+tensor+psd,v6_2_extra,figures/v6/showcase_fields_duffing.png,figures/v6/showcase_fields_duffing.pdf,sec:v62-duffing
mueller_brown,8-bistable,bistable,2,NAMED_LIMIT,FRAGILE_FAIL,C,10,1.8260752737804282,0.07453871065094383,,1.0,1.5291322750764542,0,NAMED_NULL,registry_declared_failure_or_stress_case,drift+tensor+psd,v6_2_extra,figures/v6/showcase_fields_mueller_brown.png,figures/v6/showcase_fields_mueller_brown.pdf,sec:v62-mueller-brown
sabr,9-financial,financial,2,NAMED_LIMIT,FRAGILE,F,10,,0.19519601052159968,0.9896275586436265,1.0,1.1598735676181957,0,NAMED_NULL,fragile_physics_or_identifiability_limit,drift+tensor+psd,v6_2_extra,figures/v6/showcase_fields_sabr.png,figures/v6/showcase_fields_sabr.pdf,sec:v62-sabr
gbm_2d,9-financial,financial,2,EXPANDED_REVIEW,STRONG,A,10,2.4922660195102946,0.09641597916685561,0.9970399130951344,1.0,1.6357894800311987,0,SCOPED_REVIEW,metric_gate_not_met_but_truth_is_representable,drift+tensor+psd,v6_2_extra,figures/v6/showcase_fields_gbm_2d.png,figures/v6/showcase_fields_gbm_2d.pdf,sec:v62-gbm-2d
two_factor_vasicek,9-financial,linear_ou,2,EXPANDED_REVIEW,STRONG,A,10,0.3499264350895786,1.0,,1.0,0.38678453710065125,0,SCOPED_REVIEW,metric_gate_not_met_but_truth_is_representable,drift+tensor+psd,v6_2_extra,figures/v6/showcase_fields_two_factor_vasicek.png,figures/v6/showcase_fields_two_factor_vasicek.pdf,sec:v62-two-factor-vasicek
