system,tier,seed,run,variant_id,library,R,n_steps,dt,objective_drift_rel_l2,drift_rel_l2,diffusion_rel_l2,b1_rel_l2,b2_rel_l2,a11_rel_l2,a22_rel_l2,a12_rel_l2,a12_cosine,a12_sign_acc,psd_valid_pct,generator_action_error,scope_metric_contract,runtime_sec,run_status,error,traceback_tail
near_singular,4,9601,0,WG_SINDY_FROZEN,A,16,1200,0.01,0.7553368396100311,0.7553368396100311,0.8444633528884198,0.7461650361021953,0.7666718381372973,0.8450040381993308,0.8390497310891626,0.8465840316314992,0.743520215075956,0.9511111111111111,1.0,0.9789509363566236,drift+tensor+psd,17.54378589100088,OK,,
underdamped_langevin,6,9601,0,WG_SINDY_FROZEN,B,16,1200,0.01,0.1483060579199041,0.1483060579199041,0.6765557367158349,0.12820726886587513,0.15779483397600147,,0.6764404006947154,,,,1.0,0.23125390028937137,drift+tensor+psd,6.937042781006312,OK,,
near_boundary_heston,6,9601,0,WG_SINDY_FROZEN,D,16,1200,0.01,0.7921121512463202,0.7921121512463202,0.07378649286448115,1.9225609931679277,0.20778801537491737,0.05669852115857611,0.18808666593809803,0.12754945744671625,0.9950583525098053,1.0,1.0,0.6382304618489401,drift+tensor+psd,7.090987164992839,OK,,
nonpoly_drift,6,9601,0,WG_SINDY_FROZEN,G,16,1200,0.01,0.18370444020376145,0.18370444020376145,0.07540300480552092,0.2110066764622583,0.1370713990352769,0.07163463110721947,0.07899180902812274,,,,1.0,0.19387349044022759,drift+tensor+psd,27.050687426002696,OK,,
bad_coverage,6,9601,0,WG_SINDY_FROZEN,A,16,1200,0.01,0.8889447096242032,0.8889447096242032,0.7636198903575505,0.9108361619889055,0.8517367274411887,0.7570943406414988,0.7665378019990827,,,,1.0,0.8833283440209776,drift+tensor+psd,5.9970220449904446,OK,,
too_large_dt,6,9601,0,WG_SINDY_FROZEN,A,16,600,0.05,0.1049221825314389,0.1049221825314389,0.13085635249366015,0.08783559047116193,0.12297941061872905,0.11551557161244874,0.1502488609332591,,,,1.0,0.12957005803479996,drift+tensor+psd,7.287693682010286,OK,,
van_der_pol,7-limit-cycle,9601,0,WG_SINDY_FROZEN,B,16,1200,0.01,0.041503123953559914,0.041503123953559914,0.013190489609076738,0.08325206098440946,0.03215182121624115,0.009179090802016789,0.016239529682310808,,,,1.0,0.05448748860710961,drift+tensor+psd,10.579291424015537,OK,,
fitzhugh_nagumo,7-limit-cycle,9601,0,WG_SINDY_FROZEN,B,16,1200,0.01,0.4466934855684267,0.4466934855684267,0.041685566758388345,0.43987904202563954,0.7141280953674893,0.015009823502082497,0.026222436152078248,,,,1.0,0.5858899219175095,drift+tensor+psd,10.096705365984235,OK,,
stuart_landau,7-limit-cycle,9601,0,WG_SINDY_FROZEN,B,16,1200,0.01,0.24684441491325188,0.24684441491325188,0.008473978184394186,0.3241094266683731,0.1273015532375081,0.01186526163900656,0.001682907833809241,,,,1.0,0.2862197464230188,drift+tensor+psd,10.115533094998682,OK,,
brusselator,7-limit-cycle,9601,0,WG_SINDY_FROZEN,B,16,1200,0.01,0.02541561377264741,0.02541561377264741,0.23855568642596173,0.03140844286182172,0.019568290349570586,0.3369992539138247,0.015783976490387663,,,,1.0,0.052462547629760325,drift+tensor+psd,8.31879400802427,OK,,
